show_id,type,title,country,date_added,release_year,rating,description,genre1,genre2,genre3,duration_numeric
s1,Movie,Dick Johnson Is Dead,United States,25-09-2021,2020,PG-13,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Documentaries,Unknown,Unknown,90
s2,TV Show,Blood & Water,South Africa,24-09-2021,2021,TV-MA,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",International TV Shows, TV Dramas, TV Mysteries,1500
s3,TV Show,Ganglands,South Africa,24-09-2021,2021,TV-MA,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",Crime TV Shows, International TV Shows, TV Action & Adventure,750
s4,TV Show,Jailbirds New Orleans,South Africa,24-09-2021,2021,TV-MA,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",Docuseries, Reality TV, TV Action & Adventure,750
s5,TV Show,Kota Factory,India,24-09-2021,2021,TV-MA,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",International TV Shows, Romantic TV Shows, TV Comedies,1500
s6,TV Show,Midnight Mass,India,24-09-2021,2021,TV-MA,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",TV Dramas, TV Horror, TV Mysteries,750
s7,Movie,My Little Pony: A New Generation,India,24-09-2021,2021,PG,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",Children & Family Movies, TV Horror, TV Mysteries,91
s8,Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",24-09-2021,1993,TV-MA,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",Dramas, Independent Movies, International Movies,125
s9,TV Show,The Great British Baking Show,United Kingdom,24-09-2021,2021,TV-14,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",British TV Shows, Reality TV, International Movies,6750
s10,Movie,The Starling,United States,24-09-2021,2021,PG-13,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,Comedies, Dramas, International Movies,104
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",United States,24-09-2021,2021,TV-MA,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",Crime TV Shows, Docuseries, International TV Shows,750
s12,TV Show,Bangkok Breaking,United States,23-09-2021,2021,TV-MA,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",Crime TV Shows, International TV Shows, TV Action & Adventure,750
s13,Movie,Je Suis Karl,"Germany, Czech Republic",23-09-2021,2021,TV-MA,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",Dramas, International Movies, TV Action & Adventure,127
s14,Movie,Confessions of an Invisible Girl,"Germany, Czech Republic",22-09-2021,2021,TV-PG,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",Children & Family Movies, Comedies, TV Action & Adventure,91
s15,TV Show,Crime Stories: India Detectives,"Germany, Czech Republic",22-09-2021,2021,TV-MA,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,British TV Shows, Crime TV Shows, Docuseries,750
s16,TV Show,Dear White People,United States,22-09-2021,2021,TV-MA,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",TV Comedies, TV Dramas, Docuseries,3000
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,United States,22-09-2021,2020,TV-MA,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",Documentaries, International Movies, Docuseries,67
s18,TV Show,Falsa identidad,Mexico,22-09-2021,2020,TV-MA,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,Crime TV Shows, Spanish-Language TV Shows, TV Dramas,1500
s19,Movie,Intrusion,Mexico,22-09-2021,2021,TV-14,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",Thrillers, Spanish-Language TV Shows, TV Dramas,94
s20,TV Show,Jaguar,Mexico,22-09-2021,2021,TV-MA,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",International TV Shows, Spanish-Language TV Shows, TV Action & Adventure,750
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Mexico,22-09-2021,2021,TV-14,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",Crime TV Shows, Docuseries, International TV Shows,750
s22,TV Show,Resurrection: Ertugrul,Turkey,22-09-2021,2018,TV-14,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",International TV Shows, TV Action & Adventure, TV Dramas,3750
s23,Movie,Avvai Shanmughi,Turkey,21-09-2021,1996,TV-PG,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",Comedies, International Movies, TV Dramas,161
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,Turkey,21-09-2021,2021,TV-Y,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Children & Family Movies, International Movies, TV Dramas,61
s25,Movie,Jeans,India,21-09-2021,1998,TV-14,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",Comedies, International Movies, Romantic Movies,166
s26,TV Show,Love on the Spectrum,Australia,21-09-2021,2021,TV-14,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",Docuseries, International TV Shows, Reality TV,1500
s27,Movie,Minsara Kanavu,Australia,21-09-2021,1997,TV-PG,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,Comedies, International Movies, Music & Musicals,147
s28,Movie,Grown Ups,United States,20-09-2021,2010,PG-13,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Comedies, International Movies, Music & Musicals,103
s29,Movie,Dark Skies,United States,19-09-2021,2013,PG-13,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",Horror Movies, Sci-Fi & Fantasy, Music & Musicals,97
s30,Movie,Paranoia,"United States, India, France",19-09-2021,2013,PG-13,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Thrillers, Sci-Fi & Fantasy, Music & Musicals,106
s31,Movie,Ankahi Kahaniya,"United States, India, France",17-09-2021,2021,TV-14,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",Dramas, Independent Movies, International Movies,111
s32,TV Show,Chicago Party Aunt,"United States, India, France",17-09-2021,2021,TV-MA,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,TV Comedies, Independent Movies, International Movies,750
s33,TV Show,Sex Education,United Kingdom,17-09-2021,2020,TV-MA,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",British TV Shows, International TV Shows, TV Comedies,2250
s34,TV Show,Squid Game,United Kingdom,17-09-2021,2021,TV-MA,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",International TV Shows, TV Dramas, TV Thrillers,750
s35,TV Show,Tayo and Little Wizards,United Kingdom,17-09-2021,2020,TV-Y7,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,Kids' TV, TV Dramas, TV Thrillers,750
s36,Movie,The Father Who Moves Mountains,United Kingdom,17-09-2021,2021,TV-MA,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",Dramas, International Movies, Thrillers,110
s37,Movie,The Stronghold,United Kingdom,17-09-2021,2021,TV-MA,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",Action & Adventure, Dramas, International Movies,105
s38,TV Show,Angry Birds,Finland,16-09-2021,2018,TV-Y7,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",Kids' TV, TV Comedies, International Movies,750
s39,Movie,Birth of the Dragon,"China, Canada, United States",16-09-2021,2017,PG-13,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",Action & Adventure, Dramas, International Movies,96
s40,TV Show,Chhota Bheem,India,16-09-2021,2021,TV-Y7,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",Kids' TV, Dramas, International Movies,2250
s41,TV Show,He-Man and the Masters of the Universe,United States,16-09-2021,2021,TV-Y7,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,Kids' TV, TV Sci-Fi & Fantasy, International Movies,750
s42,Movie,Jaws,United States,16-09-2021,1975,PG,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",Action & Adventure, Classic Movies, Dramas,124
s43,Movie,Jaws 2,United States,16-09-2021,1978,PG,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",Dramas, Horror Movies, Thrillers,116
s44,Movie,Jaws 3,United States,16-09-2021,1983,PG,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",Action & Adventure, Horror Movies, Thrillers,98
s45,Movie,Jaws: The Revenge,United States,16-09-2021,1987,PG-13,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",Action & Adventure, Horror Movies, Thrillers,91
s46,Movie,My Heroes Were Cowboys,United States,16-09-2021,2021,PG,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Documentaries, Horror Movies, Thrillers,23
s47,Movie,Safe House,"South Africa, United States, Japan",16-09-2021,2012,R,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Action & Adventure, Horror Movies, Thrillers,115
s48,TV Show,The Smart Money Woman,"South Africa, United States, Japan",16-09-2021,2020,TV-MA,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",International TV Shows, Romantic TV Shows, TV Comedies,750
s49,Movie,Training Day,United States,16-09-2021,2001,R,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,Dramas, Thrillers, TV Comedies,122
s50,TV Show,Castle and Castle,Nigeria,15-09-2021,2021,TV-MA,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",International TV Shows, TV Dramas, TV Comedies,1500
